PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
4044780003,40447800,238.69769,45,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,5,3,2,\N,1987,300,3,2,3,2,\N,2,\N,\N,\N,\N,1,3,51,40,8,0,0,0,4,0,0,0,0,0,0,\N,56,\N,18,21,12,1,2,4428.54,4000,0,0,872.99,0,0,0,0,880.07,880.07,0,0,0,0,0,0,3,3,1
4044780004,40447800,238.69769,18,1,\N,4044780003,\N,\N,\N,\N,\N,\N,\N,1,3,1,34,2013,200,2,2,3,2,\N,2,\N,2,2,\N,6,\N,\N,\N,0,0,0,0,0,0,0,12,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044780005,40447800,238.69769,6,1,\N,4044780003,\N,40,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,3,1
4044790001,40447900,34.08889,44,2,\N,\N,4044790002,\N,\N,\N,\N,\N,\N,5,2,2,\N,1988,300,3,2,3,2,\N,2,\N,\N,\N,\N,1,3,43,40,12,0,0,0,0,0,0,0,0,0,0,\N,52,\N,18,23,11,1,2,8369.91,6549.19,0,0,2657.86,0,0,0,0,0,0,0,0,448.59,359.37,0,0,3,3,1
4044790002,40447900,34.08889,51,1,\N,\N,4044790001,\N,\N,\N,\N,\N,\N,5,2,2,\N,1981,300,3,1,2,2,\N,2,\N,\N,\N,\N,3,2,72,40,0,0,7,0,5,0,0,0,0,0,0,\N,45,\N,18,31,1,\N,\N,434.43,415.03,0,0,57.81,0,0,0,0,463.64,463.64,0,0,0,0,1249.23,0,3,3,1
4044790003,40447900,34.08889,19,1,4044790002,4044790001,\N,\N,\N,\N,\N,\N,\N,1,3,1,35,2012,200,\N,2,3,2,\N,2,\N,2,2,\N,6,\N,\N,\N,0,0,0,0,0,0,0,12,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,708.23,607.13,0,0,219.41,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044800001,40448000,136.36414,48,1,\N,\N,4044800002,\N,\N,\N,\N,\N,\N,2,1,2,\N,2005,600,\N,2,3,2,\N,2,\N,\N,\N,\N,1,3,81,40,12,0,0,0,0,0,0,0,0,0,0,\N,36,\N,21,26,13,1,1,13902.5,10800,120,0,4053.86,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044800002,40448000,136.36414,39,2,\N,\N,4044800001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1994,300,2,2,3,2,\N,2,\N,\N,\N,\N,1,3,75,40,12,0,0,0,0,0,0,0,0,0,0,\N,56,\N,23,16,13,1,2,4145.2,3600,0,0,1162.89,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044800003,40448000,136.36414,17,1,4044800001,4044800002,\N,\N,\N,\N,\N,\N,\N,1,3,1,34,2014,200,2,2,3,2,\N,2,\N,2,2,\N,6,\N,\N,\N,0,0,0,0,0,0,0,12,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044840001,40448400,50.05146,52,2,\N,\N,4044840002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1981,300,3,1,2,1,1,2,\N,1,2,\N,8,3,96,\N,0,0,0,0,0,0,12,0,0,0,0,\N,\N,\N,15,15,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663.94,0,3,3,1
